,title,imdbid,id,rating,year
248,Animal Crackers,0020640,8463,3,1930
249,M,0022100,610,3,1931
250,M&auml;dchen in Uniform,0022183,628,3,1931
251,Night Nurse,0022208,636,3,1931
252,Frankenstein,0021884,1317,1,1931
253,Anna Christie,0020642,1327,3,1931
254,Mata Hari,0023196,1333,3,1931
255,Tabu: A Story of the South Seas,0022458,1633,0,1931
256,Indiscreet,0022000,1828,3,1931
257,"Last Flight, The",0022054,1956,0,1931
258,Pardon Us,0022251,1974,0,1931
259,Dracula,0021814,1985,2,1931
260,Monkey Business,0022158,2384,1,1931
261,City Lights,0021749,2705,3,1931
262,"Smiling Lieutenant, The",0022074,4243,2,1931
263,"Cheat, The",0021735,5741,3,1931
264,"Public Enemy, The",0022286,5934,3,1931
265,La Chienne,0021739,6030,3,1931
266,A Nous la Liberte,0022599,6031,1,1931
267,Little Caesar,0021079,6043,1,1931
268,"Skin Game, The",0022395,7294,3,1931
269,Rich and Strange [East of Shanghai],0023395,7296,2,1931
270,Dracula,0021815,8213,3,1931
271,Cimarron,0021746,8467,3,1931
272,Hyppolit a lakaj,0021985,8557,1,1931
273,Skippy,0022397,9095,3,1931
274,"Champ, The",0021730,9110,1,1931
275,I Am a Fugitive from a Chain Gang,0023042,1318,1,1932
276,Grand Hotel,0022958,1328,3,1932
277,"Age of Consent, The",0022614,1983,2,1932
278,Horse Feathers,0023027,2383,1,1932
279,White Zombie,0023694,2550,0,1932
280,Boudu Saved from Drowning,0022718,2767,1,1932
281,"I Was Born, But...",0023634,3530,1,1932
282,"Most Dangerous Game, The",0023238,3658,0,1932
283,Freaks,0022913,3659,2,1932
284,Island of Lost Souls,0024188,3844,1,1932
285,"Old Dark House, The",0023293,4775,3,1932
286,Merrily We Go to Hell,0023213,5742,3,1932
287,"Girl from Calgary, The",0022940,5783,2,1932
288,Vampyr,0023649,5910,3,1932
289,Shanghai Express,0023458,5929,3,1932
290,Three on a Match,0023590,6051,3,1932
291,Love Me Tonight,0023158,6052,2,1932
292,Scarface,0023427,6063,1,1932
293,Red-Headed Woman,0023385,6092,3,1932
294,"Death Kiss, The",0023935,6176,1,1932
295,Thirteen Women,0023582,6852,3,1932
296,"Blue Light (Das Blaue Licht), The",0022694,6990,1,1932
297,Number 17,0023285,7301,0,1932
298,Footlight Parade,0024028,802,3,1933
299,Queen Christina,0024481,1330,3,1933
300,"Private Life of Henry VIII., The",0024473,1248,1,1933
301,King Kong,0024216,2229,0,1933
302,Little Women,0024264,2231,3,1933
303,Alice in Wonderland,0023753,3188,3,1933
304,"Vampire Bat, The",0024727,3210,3,1933
305,42nd Street,0024034,4335,3,1933
306,Day of Reckoning,0023932,5029,3,1933
307,Duck Soup,0023969,5185,1,1933
308,Tomorrow at Seven,0024679,5752,3,1933
309,Gold Diggers of 1933,0024069,5916,3,1933
310,Female,0024008,6056,3,1933
311,A Study in Scarlet,0024625,6193,3,1933
312,"Peanut Vendor, The",0024432,6205,0,1933
313,"Invisible Man, The",0024184,7450,1,1933
314,Baby Face,0023775,7528,3,1933
315,Design for Living,0023940,8346,1,1933
316,Cavalcade,0023876,8477,3,1933
317,It Happened One Night,0025316,621,3,1934
318,"Cat&#39;s-Paw, The",0024961,1324,1,1934
319,"Scarlet Empress, The",0025746,1325,3,1934
320,"Painted Veil, The",0025617,1329,1,1934
321,"Count of Monte Cristo, The",0025004,1246,1,1934
322,Cleopatra,0024991,1270,1,1934
323,Of Human Bondage,0025586,1379,1,1934
324,L&#39;atalante,0024844,1795,0,1934
325,"Lost Patrol, The",0025423,1969,0,1934
326,Spitfire,0025822,4443,3,1934
327,Maniac,0025465,4702,3,1934
328,Anne of Green Gables,0024831,5319,3,1934
329,Lost in the Stratosphere,0025424,5523,2,1934
330,Search for Beauty,0025755,5821,3,1934
331,Evelyn Prentice,0025091,6772,3,1934
332,"Man Who Knew Too Much, The",0025452,7304,3,1934
333,Imitation of Life,0025301,7999,3,1934
334,Mystery Liner,0025543,8653,0,1934
335,Top Hat,0027125,595,2,1935
336,"39 Steps, The",0026029,1242,3,1935
337,Anna Karenina,0026071,1261,2,1935
338,Mutiny on the Bounty,0026752,1361,1,1935
339,Naughty Marietta,0026768,1685,3,1935
340,Roberta,0026942,2362,3,1935
341,Magnificent Obsession,0026667,2756,3,1935
342,A Night At The Opera,0026778,3881,1,1935
343,"Bride of Frankenstein, The",0026138,3891,3,1935
344,"Lady in Scarlet, The",0026599,5750,2,1935
345,"Riverside Murder, The",0026939,5913,2,1935
346,Mad Love,0026663,7998,2,1935
347,Swing Time,0028333,596,1,1936
348,Modern Times,0027977,1323,0,1936
349,"Charge of the Light Brigade, The",0027438,1237,1,1936
350,San Francisco,0028216,1359,1,1936
351,Wife vs. Secretary,0028505,1360,2,1936
352,"Petrified Forest, The",0028096,1369,3,1936
353,Mr. Deeds Goes to Town,0027996,1992,3,1936
354,Born to Dance,0027387,2363,3,1936
355,Revolt of the Zombies,0028174,2554,0,1936
356,Earthworm Tractors,0027562,2699,1,1936
357,Osaka Elegy,0028021,2853,3,1936
358,Theodora Goes Wild,0028355,3280,3,1936
359,"Great Ziegfeld, The",0027698,3401,3,1936
360,"Mandarin Mystery, The",0029207,3548,3,1936
361,"Only Son, The",0027752,3560,3,1936
362,Camille,0028683,3598,3,1936
363,Pennies from Heaven,0028092,4010,3,1936
364,Romeo and Juliet,0028203,4069,3,1936
365,Bullets or Ballots,0027407,4143,3,1936
366,My Man Godfrey,0028010,5852,2,1936
367,Sabotage,0028212,5926,3,1936
368,Fury,0027652,6096,2,1936
369,Murder at Glen Athol,0028000,6174,3,1936
370,Il caso Valdemar,3427056,6210,0,1936
371,These Three,0028356,7227,2,1936
372,Secret Agent,0028231,7308,3,1936
373,Dracula&#39;s Daughter,0027545,7992,3,1936
374,Shall We Dance,0029546,597,1,1937
375,Stage Door,0029604,631,3,1937
376,Stella Dallas,0029608,795,3,1937
377,Conquest,0028739,1332,2,1937
378,Topper,0029682,1335,2,1937
379,Lost Horizon,0029162,1336,2,1937
380,"Prisoner of Zenda, The",0029442,1240,1,1937
381,Knight Without Armor,0029087,1244,2,1937
382,Parnell,0029377,1358,2,1937
383,Snow White and the Seven Dwarfs,0029583,1976,3,1937
384,A Day at the Races,0028772,2382,2,1937
385,Nothing Sacred,0029322,3968,0,1937
386,Make Way for Tomorrow,0029192,4255,3,1937
387,Murder at the Baskervilles (Silver Blaze),0029565,5617,1,1937
388,Pepe le Moko,0029453,5740,2,1937
389,"Awful Truth, The",0028597,6554,3,1937
390,"Girl Was Young, The",0029811,7317,3,1937
391,Marked Woman,0029217,7877,3,1937
392,"Bizarre, Bizarre",0027552,8473,3,1937
393,"Life of Emile Zola, The",0029146,8478,1,1937
394,Carefree,0029971,594,2,1938
395,"Lady Vanishes, The",0030341,620,3,1938
396,Holiday,0030241,994,3,1938
397,"Dawn Patrol, The",0030044,1238,0,1938
398,Jezebel,0030287,1367,2,1938
399,"Sisters, The",0030755,1378,2,1938
400,Boys Town,0029942,2467,0,1938
401,"Mr. Wong, Detective",0030473,2590,1,1938
402,"Adventures of Robin Hood, The",0029843,3103,2,1938
403,Bluebeard&#39;s Eighth Wife,0029929,3283,2,1938
404,Bringing Up Baby,0029947,3400,3,1938
405,Four Daughters,0030149,3951,3,1938
406,"Mad Miss Manton, The",0030396,4495,3,1938
407,"Baker&#39;s Wife, The",0030127,6042,1,1938
408,Angels with Dirty Faces,0029870,7290,1,1938
409,"Wizard of Oz, The",0032138,174,3,1939
410,Gone with the Wind,0031381,291,3,1939
411,Dodge City,0031235,383,2,1939
412,"Women, The",0032143,588,3,1939
413,Stagecoach,0031971,593,3,1939
414,Wuthering Heights,0032145,1239,2,1939
415,"Goodbye, Mr. Chips",0031385,1245,2,1939
416,Ninotchka,0031725,1259,3,1939
417,Juarez,0031516,1368,2,1939
418,Dark Victory,0031210,1370,3,1939
419,Essex and Elizabeth,0031826,1371,2,1939
420,Young Mr. Lincoln,0032155,1382,2,1939
421,Jesse James,0031507,1383,2,1939
422,Drums Along the Mohawk,0031252,1384,2,1939
423,"Story of Alexander Graham Bell, The",0031981,1385,2,1939
424,"Flying Deuces, The",0031322,1973,0,1939
425,"Hunchback of Notre Dame, The",0031455,2086,0,1939
426,At the Circus,0031060,2372,2,1939
427,"Gorilla, The",0031387,2555,3,1939
428,Mr. Wong in Chinatown,0031680,2622,1,1939
429,Of Mice and Men,0031742,2851,1,1939
430,"Rules of the Game, The",0031885,3089,3,1939
431,Babes in Arms,0031066,3723,3,1939
432,Destry Rides Again,0031225,5634,3,1939
433,Nancy Drew... Reporter,0031709,5763,3,1939
434,"Adventures of Sherlock Holmes, The",0031022,5863,3,1939
435,Mr. Smith Goes to Washington,0031679,5946,2,1939
436,Jamaica Inn,0031505,7322,3,1939
437,Le jour se l&egrave;ve,0031514,8098,2,1939
438,Gulliver&#39;s Travels,0031397,8511,0,1939
439,Love Affair,0031593,9038,3,1939
440,Pinocchio,0032910,478,1,1940
441,Rebecca,0032976,618,3,1940
442,"Thief of Bagdad, The",0033152,1265,0,1940
443,"Mortal Storm, The",0032811,1501,3,1940
444,Comrade X,0032349,1355,2,1940
445,Boom Town,0032273,1356,1,1940
446,Strange Cargo,0033105,1357,0,1940
447,"Return of Frank James, The",0032983,1366,0,1940
448,"All This, and Heaven Too",0032194,1373,2,1940
449,"Letter, The",0032701,1380,2,1940
450,"Grapes of Wrath, The",0032551,1387,3,1940
451,A Chump at Oxford,0032339,1975,0,1940
452,"Ape, The",0032215,2556,3,1940
453,Santa Fe Trail,0033021,2678,1,1940
454,His Girl Friday,0032599,3033,3,1940
455,"Sea Hawk, The",0033028,3050,3,1940
456,"Great Dictator, The",0032553,3470,3,1940
457,Pride and Prejudice,0032943,4257,3,1940
458,Primrose Path,0032946,4354,3,1940
459,Chamber of Horrors / Door with the Seven Locks,0032406,4363,2,1940
