,cast_female_ratio,crew_female_ratio,directing_female_ratio,writing_female_ratio,bt_score
364,0.3333333333333333,0.14285714285714285,0.0,1.0,3.0
365,0.5,0.0,0.0,0.0,3.0
366,0.0,0.0,0.0,0.0,0.0
367,0.2033898305084746,0.043478260869565216,0.0,0.0,2.0
368,0.2727272727272727,0.0,0.0,0.0,1.0
369,0.14285714285714285,0.0,0.0,0.0,3.0
370,0.29411764705882354,0.043478260869565216,0.0,0.0,3.0
371,0.13793103448275862,0.05555555555555555,0.0,0.0,3.0
372,0.08888888888888889,0.05,0.0,0.0,2.0
374,0.14814814814814814,0.36363636363636365,0.0,1.0,0.0
375,0.42105263157894735,0.0,0.0,0.0,2.0
376,0.4,0.0,0.0,0.0,3.0
377,0.6666666666666666,0.0,0.0,0.0,3.0
378,0.5,0.23076923076923078,0.0,0.5,3.0
379,0.2413793103448276,0.07407407407407407,0.0,0.0,2.0
380,0.6363636363636364,0.0,0.0,0.0,3.0
381,0.38461538461538464,0.07142857142857142,0.0,0.25,1.0
382,0.3,0.0,0.0,0.0,1.0
383,0.2857142857142857,0.125,0.0,0.0,0.0
384,0.375,0.0,0.0,0.0,3.0
385,0.2,0.0,0.0,0.0,0.0
387,0.25,0.0,0.0,0.0,1.0
388,0.1,0.18181818181818182,0.0,0.3333333333333333,0.0
389,0.4166666666666667,0.1111111111111111,0.0,0.0,3.0
390,0.13333333333333333,0.034482758620689655,0.0,0.0,1.0
391,0.4666666666666667,0.16666666666666666,0.0,0.0,2.0
392,0.25,0.11764705882352941,0.0,0.0,3.0
393,0.3333333333333333,0.0,0.0,0.0,2.0
394,0.35714285714285715,0.0,0.0,0.0,1.0
395,0.42857142857142855,0.07142857142857142,0.0,0.0,2.0
396,0.2,0.125,0.0,0.0,1.0
397,0.4444444444444444,0.0,0.0,0.0,1.0
398,0.18181818181818182,0.08333333333333333,0.0,0.3333333333333333,3.0
399,0.36363636363636365,0.0,0.0,0.0,1.0
400,0.2962962962962963,0.2,0.3333333333333333,0.16666666666666666,2.0
401,0.5714285714285714,0.0,0.0,0.0,3.0
402,0.3125,0.07692307692307693,0.0,0.0,2.0
403,0.47368421052631576,0.125,0.0,0.2857142857142857,2.0
404,0.42857142857142855,0.07692307692307693,0.0,0.3333333333333333,3.0
405,0.5,0.07692307692307693,0.0,0.3333333333333333,3.0
406,0.45454545454545453,0.1,0.0,0.2,2.0
407,0.47368421052631576,0.13636363636363635,0.0,0.25,3.0
408,0.13333333333333333,0.0,0.0,0.0,2.0
409,0.21428571428571427,0.0,0.0,0.0,2.0
410,0.1891891891891892,0.041666666666666664,0.0,0.0,2.0
411,0.4,0.0,0.0,0.0,1.0
412,0.2857142857142857,0.0,0.0,0.0,3.0
413,0.1956521739130435,0.1282051282051282,0.3333333333333333,0.0,0.0
415,0.46153846153846156,0.08333333333333333,0.0,0.5,1.0
416,0.13333333333333333,0.0,0.0,0.0,0.0
417,0.3333333333333333,0.0,0.0,0.0,3.0
418,0.16666666666666666,0.0,0.0,0.0,1.0
419,0.36363636363636365,0.23076923076923078,0.0,0.0,3.0
420,0.6,0.10714285714285714,0.0,0.2,2.0
421,0.0,0.0,0.0,0.0,0.0
422,0.0,0.0,0.0,0.0,0.0
424,0.3333333333333333,0.1,0.5,0.0,0.0
425,0.7878787878787878,0.2,0.0,0.3333333333333333,3.0
426,0.17647058823529413,0.25,0.0,0.3333333333333333,1.0
427,0.36363636363636365,0.0,0.0,0.0,1.0
428,0.3333333333333333,0.06666666666666667,0.0,0.0,3.0
429,0.08,0.0,0.0,0.0,0.0
430,0.5833333333333334,0.15384615384615385,0.0,0.3333333333333333,3.0
431,0.36363636363636365,0.0,0.0,0.0,2.0
432,0.15384615384615385,0.0,0.0,0.0,1.0
433,0.23529411764705882,0.07692307692307693,0.0,0.0,3.0
434,0.2,0.08,0.25,0.125,2.0
435,0.3,0.07692307692307693,0.0,0.0,1.0
436,0.13333333333333333,0.0,0.0,0.0,1.0
437,0.125,0.0,0.0,0.0,0.0
438,0.2,0.0,0.0,0.0,0.0
439,0.4444444444444444,0.16666666666666666,0.0,0.3333333333333333,3.0
440,0.45454545454545453,0.2,0.0,0.5,3.0
441,0.25,0.043478260869565216,0.0,0.5,3.0
442,0.4,0.0,0.0,0.0,3.0
443,0.4375,0.0,0.0,0.0,3.0
444,0.07692307692307693,0.0625,0.0,0.0,0.0
445,0.5882352941176471,0.14285714285714285,0.0,0.5,3.0
446,0.32142857142857145,0.1,0.0,0.5,0.0
447,0.5333333333333333,0.0,0.0,0.0,3.0
448,0.5625,0.0,0.0,0.0,3.0
449,0.37037037037037035,0.1875,0.3333333333333333,0.25,1.0
450,0.1111111111111111,0.2857142857142857,0.0,1.0,1.0
451,0.32142857142857145,0.10714285714285714,0.0,0.25,3.0
452,0.5,0.13333333333333333,0.0,0.25,2.0
453,0.07142857142857142,0.047619047619047616,0.0,0.0,0.0
454,0.16666666666666666,0.16666666666666666,0.0,0.4,3.0
455,0.08333333333333333,0.08,0.3333333333333333,0.0,1.0
456,0.2222222222222222,0.0,0.0,0.0,0.0
457,0.14285714285714285,0.0,0.0,0.0,0.0
458,0.2033898305084746,0.06451612903225806,0.0,0.0,3.0
459,0.7272727272727273,0.02,0.0,0.0,3.0
460,0.25,0.05,0.2,0.0,0.0
461,0.4,0.0,0.0,0.0,3.0
462,0.26666666666666666,0.0,0.0,0.0,1.0
463,0.42424242424242425,0.18181818181818182,0.0,0.3333333333333333,2.0
464,0.3333333333333333,0.07142857142857142,0.0,0.0,2.0
465,0.3333333333333333,0.0,0.0,0.0,3.0
466,0.07142857142857142,0.0,0.0,0.0,1.0
467,0.4,0.16666666666666666,0.0,0.3333333333333333,2.0
468,0.2777777777777778,0.0,0.0,0.0,3.0
469,0.3333333333333333,0.0,0.0,0.0,1.0
470,0.42857142857142855,0.07692307692307693,0.0,0.2,3.0
471,0.2222222222222222,0.0,0.0,0.0,3.0
472,0.5,0.06666666666666667,0.0,0.0,3.0
473,0.3076923076923077,0.16666666666666666,0.0,0.5,3.0
474,0.9,0.2727272727272727,0.5,0.6666666666666666,3.0
475,0.1875,0.06060606060606061,0.0,0.0,2.0
476,0.3125,0.13333333333333333,0.0,0.2,2.0
